lead_id,credit_score,current_pincode,current_city,age_band,earning_per_month,credit_limit,credit_utilization,total_credit_cards,home_loan_amount,home_loan_balance_amount,total_home_loans,home_emi,total_cars,car_loan_amount,car_loan_balance_amount
lead_38696,737,562157,Bangalore,25-29,200K-250K,112000,20879,1,0,0,0,,1,,
lead_45193,776,560098,Bangalore,25-29,200K-250K,401000,98718,1,3990000,3903185,1,"16,348/Monthly",0,,
lead_28126,790,560064,Bangalore,40-44,250K-300K,1226000,45963,6,7811861,6063005,2,"40,719/Monthly",1,731438.0,0.0
lead_34946,717,560064,Bangalore,40-44,400K-500K,4019000,124629,12,0,0,0,,0,,
lead_39664,716,560097,Bangalore,35-39,150K-200K,100000,37403,2,3100000,3005727,1,"34,026/Monthly",1,,
lead_26543,822,560043,Bangalore,30-34,250K-300K,1850000,79516,5,0,0,0,,0,,
lead_42240,811,560068,Bangalore,35-39,250K-300K,2076000,163930,6,0,0,0,,0,,
lead_42240,811,560068,Bangalore,35-39,250K-300K,2076000,214474,6,0,0,0,,0,,
lead_37139,851,560068,Bangalore,40-44,250K-300K,1308000,319434,8,0,0,0,,0,,
lead_45794,768,560097,Bangalore,25-29,250K-300K,0,0,0,5244000,3729140,1,"42,516/Monthly",0,,
lead_50166,836,560067,Bangalore,45-49,300K-400K,284000,37358,2,11000000,9388985,2,"42,918/Monthly",1,,
lead_58567,816,560037,Bangalore,30-34,400K-500K,1212000,12274,2,0,0,0,,0,,
lead_30525,838,560045,Bangalore,40-44,600K and Above,1875000,146564,2,6388361,2115196,1,"64,450/Monthly",0,,
lead_53629,855,560092,Bangalore,45-49,600K and Above,2630000,185686,9,16000000,7641353,1,"1,60,859/Monthly",1,,
lead_31449,720,560043,Bangalore,30-34,300K-400K,890000,831201,2,0,0,0,,0,,
lead_26093,510,560097,Bangalore,40-44,250K-300K,0,126926,4,0,0,0,,0,,
lead_26093,510,560097,Bangalore,40-44,250K-300K,0,126926,4,0,0,0,,0,,
lead_47444,807,560066,Bangalore,50-54,150K-200K,240000,113714,2,0,0,0,,1,,
lead_47257,794,560064,Bangalore,30-34,150K-200K,698000,9430,2,0,0,0,,0,,
lead_58895,767,560103,Bangalore,35-39,300K-400K,2209000,131588,8,800000,772410,1,"7,948/Monthly",0,,
lead_14366,815,560001,Bangalore,35-39,300K-400K,4108888,821045,13,0,0,0,,1,,
lead_57840,790,560037,Bangalore,30-34,400K-500K,0,0,0,9600000,8992760,2,"68,619/Monthly",0,,
lead_6211,809,560045,Bangalore,25-29,400K-500K,1836000,114361,7,0,0,0,,0,,
lead_62502,786,382421,Gandhi Nagar,30-34,80K-100K,220000,125997,2,1036000,423144,1,"10,343/Monthly",1,,
lead_62502,812,382421,Gandhi Nagar,30-34,80K-100K,220000,133874,2,1036000,394976,1,"10,343/Monthly",1,720000.0,0.0
lead_45934,798,560066,Bangalore,25-29,200K-250K,706000,129645,4,0,0,0,,0,,
lead_36097,737,560043,Bangalore,30-34,150K-200K,0,0,0,3573000,3535399,1,,0,,
lead_28936,824,560063,Bangalore,30-34,300K-400K,397000,-777,2,20221000,18106368,4,"50,810/Monthly",1,,
lead_59101,833,560048,Bangalore,25-29,400K-500K,2630000,108223,6,0,0,0,,0,,
lead_45375,829,560066,Bangalore,30-34,150K-200K,330000,0,3,0,0,0,,0,,
lead_48851,818,560067,Bangalore,35-39,600K and Above,260000,75065,5,20300000,14079082,2,"88,942/Monthly",0,,
lead_4985,18,560043,Bangalore,50-54,300K-400K,0,0,0,0,0,0,,0,,
lead_48159,805,560068,Bangalore,40-44,150K-200K,0,0,0,6960000,3784399,2,"38,764/Monthly",0,,
lead_48159,845,560068,Bangalore,35-39,250K-300K,1643500,99399,4,6960000,3784399,2,"38,764/Monthly",3,,
lead_62704,816,500033,Hyderabad,35-39,80K-100K,199000,6533,1,0,0,0,,0,,
lead_62704,789,560001,Bangalore,35-39,80K-100K,199000,0,1,1000000,1000000,1,"8,742/Monthly",0,,
lead_44964,510,560066,Bangalore,40-44,150K-200K,70000,195636,3,0,0,0,,0,,
lead_45632,805,560087,Bangalore,35-39,200K-250K,2004000,5247,6,0,0,0,,0,,
lead_45632,795,560087,Bangalore,35-39,200K-250K,2004000,-368,6,0,0,0,,0,,
lead_35733,784,560060,Bangalore,45-49,150K-200K,722076,46,4,4877900,4116665,2,,1,,
lead_40928,790,560098,Bangalore,20-24,250K-300K,0,0,0,5569534,5347196,1,"55,172/Monthly",0,,
lead_44048,833,560066,Bangalore,35-39,150K-200K,572000,173871,4,3542591,2809584,1,"29,779/Monthly",1,,
lead_59323,840,560035,Bangalore,30-34,500K-600K,1270000,-5559,2,5100000,4121754,1,"37,453/Monthly",1,,
lead_34666,862,560043,Bangalore,45-49,500K-600K,6211815,883085,15,5313826,48534,1,0/Monthly,0,,
lead_57692,759,560103,Bangalore,25-29,600K and Above,7155000,134290,14,0,0,0,,0,,
lead_26924,839,560064,Bangalore,45-49,400K-500K,1736000,559768,5,6467899,6205617,1,"52,062/Monthly",0,,
lead_28030,846,560092,Bangalore,35-39,600K and Above,6887500,525773,13,0,0,0,,0,,
lead_50182,840,560102,Bangalore,35-39,400K-500K,2006000,204177,8,9313000,6896031,2,"46,418/Monthly",3,5310000.0,2105682.0
lead_14578,830,560095,Bangalore,35-39,600K and Above,7650000,458751,7,0,0,0,,1,,
lead_14578,854,560102,Bangalore,35-39,600K and Above,8122000,212282,7,0,0,0,,1,800000.0,0.0
lead_27095,858,560064,Bangalore,40-44,600K and Above,1550000,2449,2,0,0,0,,2,,
lead_35864,800,560066,Bangalore,30-34,150K-200K,374000,10365,1,0,0,0,,0,,
lead_4858,572,560064,Bangalore,30-34,300K-400K,2205732,553747,5,4930728,4762955,2,"8,655/Monthly",1,1000000.0,888345.0
lead_62816,783,560037,Bangalore,40-44,300K-400K,3805500,127940,8,3200000,2974261,1,"28,137/Monthly",0,,
lead_59009,845,560103,Bangalore,45-49,400K-500K,3854000,191345,9,2602457,1212429,1,,0,,
lead_59009,845,560103,Bangalore,45-49,400K-500K,3854000,191345,9,2602457,1212429,1,,1,705194.0,0.0
lead_35221,835,560068,Bangalore,40-44,200K-250K,1301000,160485,6,0,0,0,,1,,
lead_49753,847,560037,Bangalore,40-44,500K-600K,1192000,270441,5,0,0,0,,0,,
lead_26648,781,560077,Bangalore,35-39,250K-300K,311000,78386,4,5200000,5078794,1,"42,923/Monthly",1,800000.0,451797.0
lead_14088,709,560103,Bangalore,35-39,300K-400K,2891000,255182,8,0,0,0,,1,,
lead_5087,885,560024,Bangalore,45-49,400K-500K,435900,0,2,0,0,0,,0,,
lead_40120,754,560066,Bangalore,40-44,250K-300K,0,0,0,0,0,0,,0,,
lead_28515,775,560064,Bangalore,45-49,300K-400K,2148904,1510471,11,3851000,2559569,2,"1,088/Monthly",1,,
lead_904,693,560045,Bangalore,35-39,300K-400K,906000,295115,7,7600000,7532782,1,"67,217/Monthly",0,,
lead_59174,845,560066,Bangalore,45-49,600K and Above,2018000,50351,3,3720450,1599447,2,"29,719/Monthly",2,917000.0,0.0
lead_61124,802,560103,Bangalore,35-39,600K and Above,5973750,680745,10,0,0,0,,0,,
lead_62885,869,560102,Bangalore,35-39,300K-400K,814500,0,3,0,0,0,,1,479000.0,0.0
lead_29134,845,560045,Bangalore,50-54,400K-500K,1900000,180573,2,0,0,0,,0,,
lead_58405,803,560037,Bangalore,45-49,500K-600K,1450000,237758,2,11200000,11193642,1,"82,879/Monthly",0,,
lead_40292,834,560068,Bangalore,40-44,250K-300K,1587000,384813,8,0,0,0,,1,,
lead_4954,796,560092,Bangalore,25-29,250K-300K,0,0,0,5400000,2630606,1,"5,981/Monthly",0,,
lead_360,796,562110,Bangalore,35-39,250K-300K,0,0,0,5661507,4062308,1,"46,674/Monthly",0,,
lead_36871,717,560060,Bangalore,35-39,150K-200K,886000,281522,4,0,0,0,,0,,
lead_29900,864,560043,Bangalore,35-39,250K-300K,1177000,122605,10,5000000,820995,1,"58,701/Monthly",0,,
lead_58932,860,560102,Bangalore,35-39,600K and Above,3236000,165178,6,23500000,2536835,1,"16,582/Monthly",0,,
lead_38415,804,560068,Bangalore,35-39,150K-200K,144000,62132,2,3120000,2053972,1,,0,,
lead_26628,679,560043,Bangalore,35-39,300K-400K,4254000,48046,19,0,0,0,,1,600000.0,305109.0
lead_40283,16,560060,Bangalore,45-49,250K-300K,0,0,1,0,0,0,,0,,
lead_40425,18,562149,Bangalore,50-54,200K and 250K,0,0,0,0,0,0,,0,,
lead_62878,840,560067,Bangalore,35-39,500K-600K,4710000,175173,5,3600000,1825284,1,"30,562/Monthly",0,,
lead_50099,792,560102,Bangalore,40-44,600K and Above,500000,21746,3,11137362,6336210,2,,0,,
lead_53409,855,560035,Bangalore,40-44,600K and Above,2080000,378308,6,8789000,6109146,1,,2,,
lead_36365,845,560043,Bangalore,40-44,150K and 200K,85000,0,1,2100000,665358,1,,2,,
lead_27874,573,560064,Bangalore,40-44,300K-400K,0,0,0,0,0,0,,1,764644.0,0.0
lead_46237,560,560068,Bangalore,30-34,250K-300K,753000,286513,5,5100000,4426180,1,"41,126/Monthly",1,,
lead_38729,775,560064,Bangalore,35-39,250K-300K,388000,0,1,6175000,4612980,2,,0,,
lead_53338,786,560103,Bangalore,40-44,600K and Above,7466000,1428633,11,16459440,11172123,1,,1,,
lead_28904,768,560092,Bangalore,35-39,400K-500K,0,0,0,8864219,6798874,1,,0,,
lead_35722,705,560060,Bangalore,25-29,250K-300K,0,0,0,6408000,6274650,2,"7,902/Monthly",0,,
lead_38457,828,560087,Bangalore,30-34,200K and 250K,850000,37627,3,4606000,3616893,1,,0,,
lead_39534,709,560043,Bangalore,35-39,150K-200K,121000,0,1,0,0,0,,1,,
lead_48064,803,560066,Bangalore,40-44,150K-200K,0,42,2,0,0,0,,0,,
lead_14200,742,560001,Bangalore,35-39,400K-500K,376000,173734,4,0,0,0,,0,,
lead_7259,812,560045,Bangalore,40-44,250K-300K,1327000,161361,5,0,0,0,,3,,
lead_58898,829,560067,Bangalore,40-44,600K and Above,1850000,626811,3,25157790,24317506,2,"73,198/Monthly",0,,
lead_59224,855,560066,Bangalore,40-44,500K-600K,2100000,534861,7,0,0,0,,0,,
lead_4354,855,560077,Bangalore,40-44,400K-500K,2390000,27552,8,5500000,5421223,1,"48,605/Monthly",2,2270000,1182321
lead_4354,855,560077,Bangalore,40-44,400K-500K,2390000,27552,8,5500000,5421223,1,"48,605/Monthly",2,2270000,1182321
lead_4354,855,560077,Bangalore,40-44,400K-500K,2390000,27552,8,5500000,5412148,1,"48,605/Monthly",2,2270000,1163735
lead_30259,740,560043,Bangalore,35-39,250K-300K,575000,61115,3,0,0,0,,0,,
lead_28151,855,560024,Bangalore,40-44,400K-500K,2996000,33499,5,6799383,3354047,1,"38,134/Monthly",1,,
lead_14635,815,560049,Bangalore,30-34,600K and Above,7040000,449427,14,0,0,0,,1,,
lead_14635,815,560049,Bangalore,30-34,600K and Above,7040000,464494,14,0,0,0,,1,,
lead_58184,833,560103,Bangalore,45-49,400K-500K,800000,134419,5,0,0,0,,0,,
lead_57556,844,560037,Bangalore,35-39,300K-400K,0,0,0,0,0,0,,0,,
lead_62764,825,560066,Bangalore,35-39,300K-400K,600000,259077,3,0,0,0,0,1,1600000,584121
lead_10299,750,560045,Bangalore,45-49,250K-300K,1385000,129498,8,6328465,5961332,2,,3,2650000.0,1476552.0
lead_38644,821,560066,Bangalore,35-39,250K-300K,80000,0,1,5500000,2015574,1,"47,905/Monthly",0,,
lead_4820,823,560045,Bangalore,40-44,250K-300K,0,0,0,5102919,917895,1,"50,092/Monthly",1,,
lead_47766,773,560066,Bangalore,40-44,150K-200K,825000,441045,8,0,0,0,,1,,
lead_37903,862,560043,Bangalore,40-44,200K-250K,480000,56528,2,4960000,628761,1,"39,884/Monthly",1,,
lead_37903,862,560043,Bangalore,40-44,200K-250K,480000,46124,2,4960000,628761,1,"39,884/Monthly",1,,
lead_8993,813,560001,Bangalore,35-39,500K-600K,1207000,64071,2,0,0,0,,0,,
lead_8993,804,560001,Bangalore,35-39,500K-600K,1207000,51069,2,9999000,55294,1,"89,289/Monthly",0,,
lead_42203,736,560061,Bangalore,40-44,150K-200K,1003500,199100,7,1856000,1769501,1,"18,796/Monthly",1,,
lead_3919,702,560045,Bangalore,40-44,400K-500K,2105000,671511,5,3087402,2882740,2,864/Monthly,0,,
lead_35520,787,560061,Bangalore,30-34,200K-250K,46000,-738,1,4500000,4456748,1,"35,241/Monthly",2,,
lead_45166,731,560066,Bangalore,35-39,150K-200K,1648000,442995,8,0,0,0,,0,,
lead_1613,792,560043,Bangalore,30-34,250K-300K,1679000,580353,3,2500000,1934872,1,"27,713/Monthly",1,900000.0,311449.0
lead_57147,17,500082,Hyderabad,60 and Above,50K-60K,0,0,0,0,0,0,,0,,
lead_57147,18,500082,Hyderabad,25-29,70K-80K,0,0,0,0,0,0,,0,,
lead_55640,535,500020,Hyderabad,45-49,50K-60K,100000,0,1,0,0,0,,0,,
lead_55640,535,500020,Hyderabad,45-49,50K-60K,0,0,0,0,0,0,,0,,
lead_53922,736,500072,Hyderabad,30-34,100K and 150K,796000,288939,9,0,0,0,,0,,
lead_53922,736,500072,Hyderabad,30-34,100K and 150K,796000,278389,9,0,0,0,,0,,
lead_62551,761,500067,Rangareddy,35-39,50K-60K,127000,21124,4,0,0,0,,0,,
lead_62551,754,500067,Rangareddy,35-39,50K-60K,152000,42770,5,0,0,0,,0,,
lead_55599,784,500082,Hyderabad,50-54,30K-40K,35000,33636,4,0,0,0,,0,,
lead_55599,760,500082,Hyderabad,50-54,30K-40K,35000,41990,4,0,0,0,,0,,
lead_57013,787,500055,Hyderabad,30-34,150K-200K,861000,191040,4,0,0,0,,0,,
lead_57013,787,500055,Hyderabad,30-34,250K-300K,1261000,135952,4,0,0,0,,0,,
lead_55092,18,500072,Hyderabad,30-34,70K-80K,0,0,0,0,0,0,,0,,
lead_55092,18,500072,Hyderabad,35-39,70K-80K,0,0,0,0,0,0,,0,,
lead_57264,510,500005,Rangareddy,40-44,50K-60K,15000,11516,1,0,0,0,,1,,
lead_57264,510,500005,Rangareddy,40-44,50K-60K,0,0,0,0,0,0,,1,500000.0,0.0
lead_53939,517,500083,Rangareddy,35-39,100K and 150K,34000,31237,2,2840000,2658749,1,"18,106/Monthly",2,,
lead_53939,517,500083,Rangareddy,35-39,100K and 150K,0,0,0,0,0,0,,2,1581821.0,921918.0
lead_54243,510,500044,Hyderabad,25-29,100K and 150K,0,0,0,0,0,0,,1,,
lead_54243,510,500044,Hyderabad,25-29,100K and 150K,0,0,0,0,0,0,,1,1010500.0,663918.0
lead_54830,659,500076,Rangareddy,50-54,100K and 150K,180000,432785,3,2922000,1858017,1,"27,528/Monthly",0,,
lead_54830,664,500076,Rangareddy,50-54,100K and 150K,180000,429906,3,3422000,2136978,2,"5,009/Monthly",0,,
lead_57226,510,500006,Hyderabad,55-59,40K-50K,0,0,0,0,0,0,,0,,
lead_57226,510,500006,Hyderabad,55-59,40K-50K,0,0,0,0,0,0,,0,,
lead_61154,510,500018,Rangareddy,40-44,40K-50K,0,0,0,0,0,0,,0,,
lead_56329,18,500017,Hyderabad,45-49,50K-60K,0,0,0,0,0,0,,2,,
lead_56329,18,500017,Hyderabad,45-49,50K-60K,0,0,0,0,0,0,,2,1060000.0,0.0
lead_50042,755,500045,Hyderabad,30-34,50K-60K,0,0,0,0,0,0,,1,526000.0,0.0
lead_48623,879,560060,Bangalore,45-49,150K-200K,300000,4407,3,0,0,0,,1,,
lead_28147,809,560064,Bangalore,40-44,300K-400K,3720000,127234,13,16536414,13035029,3,"22,758/Monthly",0,,
lead_45728,840,560098,Bangalore,30-34,250K-300K,530000,12574,2,0,0,0,,0,,
lead_54608,710,500054,Hyderabad,40-44,40K-50K,259000,172411,3,0,0,0,,0,,
lead_54608,762,500054,Hyderabad,40-44,40K-50K,269000,141427,4,0,0,0,,0,,
lead_54314,510,500092,Rangareddy,25-29,Less than 30K,55000,48526,1,0,0,0,,0,,
lead_54314,510,500092,Rangareddy,25-29,Less than 30K,0,0,0,0,0,0,,0,,
lead_53989,745,500019,Rangareddy,35-39,40K-50K,55000,13095,1,0,0,0,,0,,
lead_53989,708,500019,Rangareddy,40-44,40K-50K,55000,54660,1,0,0,0,,0,,
lead_55445,751,500016,Hyderabad,40-44,60K-70K,0,0,0,0,0,0,,0,,
lead_55445,760,500016,Hyderabad,40-44,80K-100K,0,0,0,0,0,0,,0,,
lead_55563,702,500088,Hyderabad,45-49,100K and 150K,204000,84362,3,0,0,0,,2,,
lead_55563,702,110029,Delhi,45-49,100K and 150K,204000,84362,3,0,0,0,,2,1233000.0,0.0
lead_55486,590,500049,Trimulgherry,45-49,40K-50K,30000,47797,4,0,0,0,,1,,
lead_55486,510,500049,Trimulgherry,45-49,40K-50K,15000,32408,3,0,0,0,,1,235000.0,0.0
lead_54880,820,500016,Hyderabad,50-54,70K-80K,0,0,1,0,0,0,,0,,
lead_54880,820,500068,Rangareddy,50-54,70K-80K,0,0,1,0,0,0,,0,,
lead_7321,867,560024,Bangalore,35-39,600K and Above,4182999,225047,10,0,0,0,,0,,
lead_49999,663,507002,Khammam,25-29,100K and 150K,1130000,839390,12,0,0,0,,0,,
lead_49999,510,507002,Khammam,25-29,70K-80K,411000,148057,4,0,0,0,,0,,
lead_4660,664,560045,Bangalore,30-34,250K-300K,500000,0,1,0,0,0,,0,,
lead_39886,756,560064,Bangalore,35-39,150K-200K,351000,305812,7,2000000,1963644,1,"19,872/Monthly",1,,
lead_46312,835,560087,Bangalore,30-34,250K-300K,1530000,5860,5,0,0,0,,0,,
lead_41673,818,560064,Bangalore,35-39,150K and 200K,112000,7151,1,3000000,2468812,1,,1,,
lead_29256,794,560043,Bangalore,35-39,300K-400K,610000,69035,1,0,0,0,,0,,
lead_43988,559,560066,Bangalore,30-34,200K-250K,0,0,0,4955600,4065015,1,"46,680/Monthly",3,,
lead_58924,817,560037,Bangalore,35-39,500K-600K,1450000,159553,5,0,0,0,,1,1000000.0,0.0
lead_47055,801,560049,Bangalore,30-34,250K-300K,481000,0,1,5118000,4836138,2,979/Monthly,1,,
lead_45974,787,560061,Bangalore,30-34,150K and 200K,891000,130293,5,0,0,0,,0,,
lead_44829,706,560098,Bangalore,30-34,250K-300K,1902400,379435,11,0,0,0,,2,,
lead_42078,787,560105,Bangalore,35-39,150K-200K,221000,201099,3,3000000,2721354,1,444/Monthly,0,,
lead_4413,747,560045,Bangalore,30-34,250K-300K,0,0,0,0,0,0,,0,,
lead_39311,565,560043,Bangalore,30-34,150K-200K,300000,59700,1,2878718,2768669,3,"4,107/Monthly",0,,
lead_5358,812,560045,Bangalore,30-34,250K-300K,424000,99166,3,0,0,0,,1,964627.0,0.0
lead_42868,851,560098,Bangalore,30-34,150K-200K,494000,16896,3,0,0,0,,0,,
lead_39989,675,560098,Bangalore,30-34,200K-250K,380000,37047,3,6450000,6318179,2,"7,647/Monthly",1,,
lead_58285,851,560048,Bangalore,40-44,600K and Above,2300000,383467,11,12180909,5657081,1,"56,851/Monthly",0,,
lead_58285,851,560048,Bangalore,40-44,600K and Above,2300000,383467,11,12180909,5657081,1,"56,851/Monthly",1,100000.0,0.0
lead_10184,510,560043,Bangalore,40-44,400K-500K,280000,305094,3,0,0,0,,1,492000.0,0.0
lead_4694,696,560043,Bangalore,40-44,300K-400K,74000,97768,2,4600000,1741409,2,834/Monthly,1,362000.0,0.0
lead_35286,742,560097,Bangalore,30-34,200K-250K,904789,53270,7,0,0,0,,0,,
lead_37014,823,560066,Bangalore,30-34,250K-300K,1179000,94496,6,1924771,1885764,1,"15,529/Monthly",1,,
lead_39249,828,560066,Bangalore,25-29,150K-200K,712000,28743,4,0,0,0,,0,,
lead_53963,730,754140,Jagatsinghapur,30-34,100K and 150K,1154000,625617,11,0,0,0,,0,,
lead_53963,746,754140,Jagatsinghapur,30-34,300K-400K,1812000,915871,12,0,0,0,,0,,
lead_62538,785,501401,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,1,,
lead_62538,785,501401,Rangareddy,25-29,40K-50K,0,0,0,0,0,0,,1,200000.0,0.0
lead_55245,693,517325,Chittoor,50-54,70K-80K,0,297,1,0,0,0,,0,,
lead_55245,693,517325,Chittoor,50-54,80K-100K,0,297,1,0,0,0,,0,,
lead_62536,745,500016,Hyderabad,40-44,150K-200K,908000,291751,4,0,0,0,,0,,
lead_62536,746,500016,Hyderabad,40-44,150K-200K,1056000,498793,6,0,0,0,,0,,
lead_46819,860,560066,Bangalore,35-39,250K-300K,590000,30095,3,0,0,0,,0,,
lead_54935,620,500018,Rangareddy,50-54,100K and 150K,211000,1179,1,0,0,0,,0,,
lead_54935,746,500018,Rangareddy,55-59,100K and 150K,231000,33116,2,0,0,0,,0,,
lead_54847,797,500008,Hyderabad,55-59,50K-60K,196000,0,2,0,0,0,,0,,
lead_54847,772,500008,Hyderabad,55-59,50K-60K,0,0,0,0,0,0,,0,,
lead_1617,758,560043,Bangalore,35-39,300K-400K,978000,753119,3,0,0,0,,0,,
lead_62492,792,560048,Bangalore,40-44,600K and Above,0,0,0,15000000,1409296,1,"5,495/Monthly",0,,
lead_34743,808,560043,Bangalore,45-49,300K-400K,64500,-58,1,0,0,0,,0,,
lead_34743,808,560043,Bangalore,45-49,300K-400K,64500,-58,1,0,0,0,,0,,
lead_34878,855,560064,Bangalore,45-49,300K-400K,1813000,26895,5,5685471,5177479,1,,1,,
lead_6185,654,560064,Bangalore,40-44,400K-500K,35000,16174,2,9000000,6834285,1,"66,350/Monthly",3,2493900.0,719572.0
lead_48850,818,560035,Bangalore,35-39,600K and Above,1867000,801542,6,19950000,17010523,2,"1,22,671/Monthly",1,,
lead_44892,812,560068,Bangalore,30-34,150K-200K,105000,56323,2,3554000,3092394,2,"28,058/Monthly",0,,
lead_49809,802,560068,Bangalore,50-54,600K and Above,200000,1103993,5,0,0,0,,0,,
lead_37090,16,560066,Bangalore,40-44,150K-200K,0,0,0,0,0,0,,0,,
lead_37090,16,560066,Bangalore,40-44,150K-200K,0,0,0,0,0,0,,0,,
lead_47628,548,560064,Bangalore,50-54,150K-200K,0,0,0,0,0,0,,1,,
lead_29621,674,560024,Bangalore,35-39,250K-300K,989000,763139,6,4800000,1073562,1,"3,647/Monthly",1,800000.0,300712.0
lead_38164,885,560066,Bangalore,40-44,150K and 200K,50000,1179,3,0,0,0,,0,,
lead_3389,779,560024,Bangalore,35-39,500K-600K,272000,333215,5,10500000,10381846,1,"81,892/Monthly",1,504220,412835
lead_14231,822,560078,Bangalore,30-34,300K-400K,1450000,12613,6,0,0,0,,0,,
lead_27833,824,560043,Bangalore,25-29,250K-300K,584000,67675,2,4813000,4650917,1,"32,429/Monthly",1,900000.0,510935.0
lead_45996,700,560068,Bangalore,30-34,150K-200K,477000,48955,2,3654200,2857886,1,"48,172/Monthly",0,,
lead_35041,805,560066,Bangalore,35-39,150K-200K,710000,101505,5,0,0,0,,0,,
lead_35041,829,125104,Sirsa,35-39,150K-200K,710000,88705,5,0,0,0,,0,,
lead_35445,805,560066,Bangalore,30-34,150K and 200K,385000,13432,2,0,0,0,,1,,
lead_47591,808,560068,Bangalore,20-24,150K-200K,370000,13802,2,0,0,0,,0,,
lead_53896,782,500055,Hyderabad,30-34,150K-200K,984000,159031,5,0,0,0,,0,,
lead_53896,782,500055,Hyderabad,30-34,150K-200K,1284000,268193,6,0,0,0,,0,,
lead_53848,799,500029,Hyderabad,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_53848,799,500029,Hyderabad,25-29,40K-50K,0,0,0,0,0,0,,0,,
lead_53841,16,788163,Hailakandi,40-44,40K-50K,0,0,0,0,0,0,,0,,
lead_53841,16,788163,Hailakandi,40-44,40K-50K,0,0,0,0,0,0,,0,,
lead_46911,831,562109,Ramanagar,40-44,250K and 300K,321000,81458,3,5000000,4947397,1,,1,,
lead_25659,845,560063,Bangalore,35-39,250K-300K,500000,-3704,1,5000000,3599852,1,"34,724/Monthly",0,,
lead_57350,781,560037,Bangalore,35-39,300K-400K,3672000,105997,11,3500000,1736018,1,"30,395/Monthly",1,625000.0,0.0
lead_62822,619,560066,Bangalore,30-34,300K-400K,2800000,31162,9,4628000,3899590,2,674/Monthly,1,,
lead_1980,850,560100,Bangalore,50-54,300K-400K,1411000,431064,9,9200000,6512225,2,"77,960/Monthly",1,,
lead_1980,850,560043,Bangalore,50-54,300K-400K,1411000,372262,9,9200000,6590185,2,"77,960/Monthly",1,,
lead_41664,864,560087,Bangalore,45-49,200K-250K,333000,68545,3,4212546,792209,1,,1,,
lead_49910,16,341319,Nagaur,35-39,80K-100K,0,0,0,0,0,0,,0,,
lead_42281,854,560098,Bangalore,40-44,250K-300K,760000,42599,5,7751669,2980238,2,,0,,
lead_47190,18,560066,Bangalore,40-44,150K-200K,0,-717,1,0,0,0,,0,,
lead_47190,18,560066,Bangalore,40-44,150K-200K,0,-717,1,0,0,0,,0,,
lead_62975,722,560066,Bangalore,30-34,300K-400K,1123000,78239,4,0,0,0,,0,,
lead_50347,761,560037,Bangalore,35-39,300K-400K,200000,61708,3,4799824,4664280,1,"42,477/Monthly",1,,
lead_1542,819,560097,Bangalore,30-34,300K-400K,1307000,107030,4,0,0,0,,1,1006761.0,251807.0
lead_41262,843,560066,Bangalore,40-44,150K-200K,425000,9467,3,0,0,0,,1,,
lead_40426,808,560060,Bangalore,30-34,200K-250K,25000,0,1,4000000,1788191,1,"22,671/Monthly",0,,
lead_41588,829,560066,Bangalore,30-34,150K-200K,1532000,57162,7,0,0,0,,0,,
lead_42389,510,560066,Bangalore,25-29,200K-250K,654000,186671,5,0,0,0,,1,,
lead_14611,853,560047,Bangalore,30-34,300K-400K,1398000,178934,2,0,0,0,,0,,
lead_14611,853,560047,Bangalore,30-34,300K-400K,1398000,183600,2,0,0,0,,0,,
lead_31811,826,560024,Bangalore,35-39,400K-500K,1620000,38023,4,3000000,2890425,1,"27,088/Monthly",0,,
lead_58206,838,560066,Bangalore,35-39,300K-400K,1176000,8983,3,6288000,3053690,1,"31,415/Monthly",0,,
lead_3459,756,560043,Bangalore,35-39,250K-300K,2088000,711691,12,0,0,0,,1,907998.0,595737.0
lead_43415,510,560064,Bangalore,45-49,150K-200K,266000,169345,4,900000,890598,1,"8,705/Monthly",0,,
lead_26173,812,560064,Bangalore,35-39,250K-300K,694000,10425,3,0,0,0,,1,580000,0
lead_26173,812,560064,Bangalore,35-39,250K-300K,694000,10425,3,0,0,0,,1,580000.0,0.0
lead_7255,850,560043,Bangalore,45-49,400K-500K,933000,423750,4,0,0,0,,0,,
lead_7255,874,560043,Bangalore,45-49,400K-500K,933000,311640,4,0,0,0,,0,,
lead_36002,798,560068,Bangalore,30-34,250K-300K,826000,476234,3,1450000,1431198,1,"11,582/Monthly",0,,
lead_46032,15,560066,Bangalore,25-29,150K and 200K,126000,106151,1,3940000,3659299,1,,0,,
lead_46032,780,560066,Bangalore,25-29,150K-200K,126000,109170,1,3940000,3657132,1,"28,544/Monthly",0,,
lead_62863,816,560067,Bangalore,30-34,300K-400K,333000,49555,2,0,0,0,,0,,
lead_43220,840,560066,Bangalore,35-39,200K-250K,866000,25884,5,0,0,0,,0,,
lead_3322,713,560064,Bangalore,30-34,300K-400K,30000,5218,1,9100000,8334693,2,"21,550/Monthly",0,,
lead_38079,835,560043,Bangalore,30-34,200K-250K,439000,191518,4,0,0,0,,0,,
lead_14464,712,560098,Bangalore,30-34,400K-500K,1024000,363038,8,0,0,0,,4,,
lead_35467,845,560067,Bangalore,40-44,250K-300K,500000,43454,1,5343291,2381254,2,"17,206/Monthly",0,,
